"","tweet"
"1","14-07-2020 Landslide Nowcast at 0500 hrs IST is moderate/high for following circles of : Anjaw district : Hawai HQ, Walong Circle"
"2","14-07-2020 Landslide Nowcast at 0500 hrs IST is moderate/high for following circles of : West Kameng district : Balemu Circle, Kalaktang ADC"
